Vermis;;;;;;Teuthus;;;;;;Argos;;;;;;Orion;;;;;;Maia;;;;;;Overall;;;;;
SQ_SIMULATION;SQ_TEST;BASELINE;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base
0,321150794;0,104821429;0,106269841;0,783294619;0,255662021;0,259194735;0,286369048;0,224583333;0,070119048;0,698461092;0,547764228;0,171022067;0,183293651;0,148174603;0,081130952;0,447057685;0,361401471;0,197880371;0,237242063;0,139484127;0,134027778;0,578639179;0,340205188;0,326897019;0,187916667;0,092043651;0,027638889;0,458333333;0,224496709;0,067411924;0,243194444;0,141821429;0,083837302;0,593157182;0,345905923;0,204481223
0,275972222;0,19390873;0,089563492;0,673102981;0,472948122;0,218447542;0,259285714;0,201507937;0,085892857;0,632404181;0,491482772;0,209494774;0,152222222;0,120654762;0,076011905;0,371273712;0,294279907;0,18539489;0,143730159;0,150099206;0,136587302;0,350561363;0,366095625;0,33313976;0,163214286;0,154543651;0,028710317;0,398083624;0,376935734;0,070025165;0,198884921;0,164142857;0,083353175;0,485085172;0,400348432;0,203300426
0,288531746;0,174861111;0,085456349;0,703735966;0,426490515;0,20843012;0,256805556;0,148789683;0,088769841;0,626355014;0,362901665;0,216511808;0,193511905;0,135595238;0,079761905;0,471980256;0,330720093;0,194541232;0,208650794;0,07015873;0,138730159;0,508904375;0,171118854;0,338366241;0,164305556;0,145515873;0,038115079;0,400745257;0,354916763;0,092963608;0,222361111;0,134984127;0,086166667;0,542344174;0,329229578;0,210162602
0,333333333;0,161527778;0,101924603;0,81300813;0,39397019;0,248596593;0,218492063;0,177619048;0,085496032;0,532907472;0,433217189;0,208526907;0,144722222;0,129742063;0,081527778;0,352981029;0,316444056;0,198848239;0,174900794;0,123174603;0,141190476;0,426587302;0,300425861;0,344367015;0,159940476;0,186011905;0,039484127;0,390098722;0,453687573;0,096302749;0,206277778;0,155615079;0,089924603;0,503116531;0,379548974;0,219328301
0,290456349;0,136865079;0,092420635;0,70843012;0,333817267;0,225416183;0,262480159;0,165436508;0,079444444;0,640195509;0,403503678;0,193766938;0,190357143;0,166031746;0,09218254;0,464285715;0,404955478;0,224835463;0,260555556;0,118789683;0,133154762;0,635501355;0,289730933;0,324767712;0,13797619;0,086706349;0,027579365;0,336527294;0,211478901;0,067266744;0,228365079;0,134765873;0,084956349;0,556987999;0,328697251;0,207210608
0,293670635;0,230357143;0,115138889;0,716269841;0,56184669;0,280826558;0,274484127;0,269186508;0,088154762;0,66947348;0,656552458;0,215011614;0,178253968;0,130892857;0,084980159;0,434765776;0,319250871;0,20726868;0,192420635;0,088551587;0,138670635;0,469318622;0,215979481;0,338221061;0,189206349;0,175456349;0,058115079;0,461478901;0,427942315;0,141744096;0,225607143;0,178888889;0,097011905;0,550261324;0,436314363;0,236614402
0,259861111;0,146031746;0,115238095;0,633807588;0,35617499;0,281068525;0,270337302;0,213313492;0,085019841;0,659359272;0,52027681;0,207365467;0,155059524;0,141230159;0,078174603;0,378193961;0,344463802;0,190669763;0,239424603;0,121607143;0,130039683;0,583962447;0,296602787;0,317169957;0,148650794;0,161964286;0,038075397;0,362562911;0,395034843;0,092866822;0,214666667;0,156829365;0,089309524;0,523577236;0,382510647;0,217828107
0,218035714;0,146785714;0,100694444;0,531794425;0,358013937;0,245596206;0,243809524;0,177202381;0,068809524;0,594657375;0,432200929;0,167828107;0,133730159;0,146170635;0,097301587;0,32617112;0,356513744;0,237320944;0,155456349;0,152043651;0,13297619;0,379161827;0,370838173;0,324332172;0,191468254;0,15484127;0,03702381;0,466995741;0,377661634;0,090301974;0,1885;0,15540873;0,087361111;0,459756098;0,379045683;0,213075881
0,272261905;0,179503968;0,091289683;0,664053426;0,437814557;0,222657762;0,245952381;0,216448413;0,070238095;0,599883856;0,527922958;0,171312427;0,140634921;0,092638889;0,086230159;0,343012002;0,22594851;0,210317461;0,169583333;0,170277778;0,138690476;0,413617886;0,415311653;0,338269454;0,120714286;0,0775;0,02859127;0,294425087;0,18902439;0,069734804;0,189829365;0,14727381;0,083007937;0,462998452;0,359204414;0,202458382
0,266527778;0,172142857;0,116111111;0,650067751;0,419860627;0,283197832;0,259801587;0,186904762;0,076468254;0,633662408;0,455865273;0,186507937;0,15109127;0,102956349;0,072579365;0,368515293;0,251113046;0,177022841;0,260753968;0,167936508;0,138095238;0,635985288;0,409601239;0,336817654;0,156071429;0,095634921;0,0375;0,380662021;0,233255904;0,091463415;0,218849206;0,145115079;0,088150794;0,533778552;0,353939218;0,215001936
